type_habit,prix,adresse,image_lien
Djellaba enfant,5000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608935_uploaded_image1_1708714886.jpg
Robe femme,15000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4652500_uploaded_image1_1711013502.jpg
Robe fille,15000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4651732_uploaded_image1_1710953991.jpg
Djellaba enfants,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4600870_uploaded_image1_1708347775.jpg
Djellaba enfants,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4600864_uploaded_image1_1708347454.jpg
Djellaba enfants,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4600865_uploaded_image1_1708347569.jpg
Djellaba enfants,12000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4600868_uploaded_image1_1708347690.jpg
Vêtements bébé,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4624772_uploaded_image2_1709562313.jpeg
Grenouillère,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4623255_uploaded_image2_1709484828.jpeg
Tenue anniversaire enfant,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4623058_uploaded_image1_1709473724.jpg
Robes enfant,15000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4623032_uploaded_image1_1709472242.jpg
Vêtements enfant,0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4615109_uploaded_image1_1709070529.jpg
Ensemble filles,5000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4615094_uploaded_image1_1709070182.jpg
Coffret naissance,15000,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_4608080_uploaded_image1_1708687411.jpg
Robe enfant,9000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4607426_uploaded_image1_1708642698.jpg
Grenouillère,3500,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_4606506_uploaded_image1_1708607013.jpg
Pantalon friperie enfants,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604387_uploaded_image1_1708513793.jpg
Pantalon friperie enfants,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604385_uploaded_image1_1708513782.jpg
Pantalon friperie enfants,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604379_uploaded_image1_1708513648.jpg
Pantalon enfant friperie,3000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4604378_uploaded_image1_1708513583.jpg
Blouson enfants,8500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4556181_uploaded_image1_1705852562.jpg
Robe bébé 0 - 9 mois,2000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4588746_uploaded_image1_1707650951.jpg
Vêtements pour bébé,500,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_4585357_uploaded_image1_1707428281.jpg
Ensemble blouson pour fille,4000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4577293_uploaded_image1_1707012822.jpg
Vêtement enfant,8500,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4571573_uploaded_image1_1706729137.jpg
Vêtement enfant,8500,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4571570_uploaded_image1_1706729054.jpg
Vêtement enfant,10000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_4571564_uploaded_image1_1706728937.jpg
Vetements  enfants,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg
Ensemble enfant,6000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4512928_uploaded_image1_1703449636.jpg
Vetement enfants,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4510412_uploaded_image1_1703252917.jpg
Vêtements enfants,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4510416_uploaded_image1_1703253068.jpg
Blouson pour enfant 4 - 15 ans,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4505009_uploaded_image1_1702930372.jpg
Ensemble blouson pour fille,5500,"Thies, Sénégal",https://images.coinafrique.com/thumb_4538922_uploaded_image1_1704933290.jpg
Blouson pour fille,6000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4527014_uploaded_image1_1704375688.jpg
Pull enfant avec capuche,5000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4522850_uploaded_image1_1704190687.jpg
Pull pour enfant,5000,"Thies, Sénégal",https://images.coinafrique.com/thumb_4522837_uploaded_image1_1704190481.jpg
Friperie enfants,0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4517974_uploaded_image2_1703783715.jpeg
Friperie enfants,0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4516547_uploaded_image1_1703706216.jpg
Friperie enfants,0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4513354_uploaded_image3_1703506745.jpeg
Blouson enfant,5000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4511874_uploaded_image1_1703350100.jpg
Blouson enfant,5500,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_4511870_uploaded_image1_1703349818.jpg
Ensemble enfants 2 - 6ans,8000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4464056_uploaded_image1_1700401019.jpg
Ensemble enfant,0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4455065_uploaded_image1_1699814184.jpg
Ensemble veste pour enfant,23000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_4479762_uploaded_image1_1701402947.jpg
Slips enfants,7000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_4467057_uploaded_image1_1700591564.jpg
