type_habit,prix,adresse,image_lien
Polo Enfant,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3091593_uploaded_image1_1619937425.jpg
Ensemble enfant,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3091582_uploaded_image1_1619937100.jpg
Robes enfant,10000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_3091576_uploaded_image1_1619936893.jpg
Vêtements Enfants,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3091356_uploaded_image1_1619918393.jpg
Vêtements Enfants,3500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3091353_uploaded_image1_1619918261.jpg
Pantalons jeans enfants,6000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3091181_uploaded_image1_1619912235.jpg
Ensemble petit garçon,0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3088972_uploaded_image1_1619825459.jpg
Robe enfant,0,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3088723_uploaded_image1_1619814031.jpg
Tunique enfant,0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3087733_uploaded_image1_1619763855.jpg
Vêtements friperie enfants,1000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3087186_uploaded_image1_1619724786.jpg
Chemise enfant,2500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3086775_uploaded_image1_1619710616.jpg
Vêtement enfants,2500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3086774_uploaded_image1_1619710562.jpg
Chemise enfant,2500,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3086770_uploaded_image1_1619710501.jpg
Robe fillette,0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3086234_uploaded_image1_1619695623.jpg
Robe fillette,0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3086230_uploaded_image1_1619695571.jpg
Robe fillette,0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3086229_uploaded_image1_1619695508.jpg
Robe fillette,0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3086225_uploaded_image1_1619695446.jpg
Robe fillette,0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3086220_uploaded_image1_1619695388.jpg
Robe fillette,0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3083787_uploaded_image1_1619562155.jpg
Ensemble enfants,1300,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3083311_uploaded_image1_1619543622.jpg
Vêtements enfants,10000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3079390_uploaded_image3_1619366149.jpeg
Boxer enfant,6500,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3077069_uploaded_image1_1619214743.jpg
Ensemble fille,2000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3072126_uploaded_image1_1619012521.jpg
Ensemble fille,2000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3072113_uploaded_image1_1619012309.jpg
Vêtements enfant,15000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3067708_uploaded_image1_1618829674.jpg
Body bébé,10000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3067317_uploaded_image1_1618813231.jpg
Grenouillère bébé,3000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_3067315_uploaded_image1_1618813047.jpg
Ensemble enfant,7000,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3061627_uploaded_image1_1618503756.jpg
