prix,type_habit,adresse,image_lien
0,Chemise blanche - homme,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3829341_uploaded_image1_1660430273.jpg
0,Chemise homme,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3829350_uploaded_image1_1660430753.jpg
0,Chemise homme,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3829348_uploaded_image1_1660430609.jpg
0,Chemise homme,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3829332_uploaded_image1_1660429859.jpg
0,Chemise burberry - noir,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3829320_uploaded_image1_1660429563.jpg
8000,Vêtements homme,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3871267_uploaded_image1_1662748260.jpg
3000,Pantalon homme,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_3870863_uploaded_image1_1662732392.jpg
25000,Ensembles homme,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3870149_uploaded_image1_1662685497.jpg
10000,Pantalons homme,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3870143_uploaded_image1_1662685040.jpg
7500,T-shirt homme,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3870142_uploaded_image2_1662684744.jpeg
7000,Pantalons Kaki,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3824301_uploaded_image1_1660156976.jpg
7000,T-shirts Lacoste,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3824293_uploaded_image1_1660156756.jpg
8000,Pantalons Kaki,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3824297_uploaded_image1_1660156837.jpg
10000,Chemise homme - burberry,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3827536_uploaded_image1_1660322329.jpg
10000,Chemise burberry,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3827544_uploaded_image1_1660322498.jpg
0,Pantalon jeans,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3827510_uploaded_image1_1660321433.jpg
10000,Pantalon jeans - noir,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3827498_uploaded_image1_1660321002.jpg
15000,Pantalon kaki - marron,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3827486_uploaded_image1_1660320586.jpg
10000,Pantalon en jeans,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3827496_uploaded_image1_1660320887.jpg
0,Pantalon kaki - vert olive,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3827482_uploaded_image1_1660320527.jpg
0,Pantalon kaki - noir,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3827478_uploaded_image1_1660320433.jpg
0,Pantalon kaki,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3827476_uploaded_image1_1660320333.jpg
15000,Pantalon kaki - gris,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3827471_uploaded_image1_1660320242.jpg
7000,Teeshirt,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3868998_uploaded_image1_1662637322.jpg
16000,Vêtements homme,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3868374_uploaded_image2_1662594461.jpeg
16000,Vêtements homme,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3868371_uploaded_image1_1662594244.jpg
35000,Ensemble homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3867785_uploaded_image1_1662566286.jpg
40000,Ensemble homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3867742_uploaded_image1_1662564709.jpg
40000,Costume africaine,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_3867309_uploaded_image1_1662553136.jpg
15000,Pantalon jeans homme,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3866651_uploaded_image1_1662514455.jpg
32500,Ensemble homme,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3865976_uploaded_image1_1662481148.jpg
