type_chaussure,prix,adresse,image_lien
Chaussures homme,0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5305851_uploaded_image1_1746060014.jpg
Chaussures Timberland Berluti,16000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5350414_uploaded_image1_1748484037.jpg
Baskets NB9050,23000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5350412_uploaded_image1_1748483937.jpg
Baskets NB1906,23000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5350411_uploaded_image1_1748483850.jpg
Chaussures unisexe,14500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5350017_uploaded_image1_1748459077.jpg
Chaussures unisexe,14500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5349939_uploaded_image1_1748454104.jpg
Babouches,0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5349918_uploaded_image1_1748452087.jpg
Chaussures hommes,14500,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5349774_uploaded_image1_1748446268.jpg
Chaussures homme,20000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348358_uploaded_image1_1748370711.jpg
Chaussures  homme,18000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348355_uploaded_image1_1748370436.jpg
Sandales homme,14000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348109_uploaded_image1_1748359717.jpg
Sandales homme,14000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348095_uploaded_image1_1748359287.jpg
Chaussures homme,16000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5348083_uploaded_image1_1748359073.jpg
Chaussures de course,25000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5347629_uploaded_image1_1748342137.jpg
Chaussures,22000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5346815_uploaded_image1_1748284555.jpg
Chaussures homme,22000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5346444_uploaded_image1_1748273049.jpg
Chaussures homme,0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5346342_uploaded_image1_1748270169.jpg
Stan  Smith,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5299470_uploaded_image1_1745669343.jpg
Chaussures original,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5299450_uploaded_image1_1745668750.jpg
Chaussures Balenciaga,13000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5343633_uploaded_image1_1748099218.jpg
Chaussures homme,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5343503_uploaded_image1_1748092307.jpg
Chaussures homme,13000,"Diamalaye 1, Dakar, Sénégal",https://images.coinafrique.com/thumb_5343375_uploaded_image1_1748086204.jpg
Chaussures homme,15000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5293535_uploaded_image1_1745362191.jpg
Chaussures homme,18000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5293048_uploaded_image1_1745339518.jpg
Chaussures Nike,20000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5293050_uploaded_image1_1745339558.jpg
Chaussures homme,18000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5291969_uploaded_image1_1745276331.jpg
Chaussures homme,20000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5291981_uploaded_image1_1745276752.jpg
Chaussures Stan Smith,13000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5291976_uploaded_image1_1745276541.jpg
Chaussures homme,25000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5291978_uploaded_image1_1745276625.jpg
Chaussures homme,0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5337426_uploaded_image1_1747766507.jpg
Chaussures homme,0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5337421_uploaded_image1_1747766439.jpg
Chaussures homme,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5336781_uploaded_image1_1747739999.jpg
Chaussure Timberland,20000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5335978_uploaded_image1_1747682457.jpg
Sneakers Timberland,20000,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_5335950_uploaded_image1_1747681246.jpg
Timberlands homme,30000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5334044_uploaded_image1_1747578967.jpg
Baskets Asic Cayono,27000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5371936_uploaded_image1_1749765298.jpg
Sandales,17000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359154_uploaded_image1_1748983277.jpg
Chaussures  Nike portal,25000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359143_uploaded_image1_1748982874.jpg
Chaussures Berluti,20000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359038_uploaded_image1_1748978250.jpg
Baskets New Balance,25000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5359006_uploaded_image1_1748976951.jpg
Chaussures homme,20000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5399058_uploaded_image1_1751302512.jpg
Babouches homme,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5355160_uploaded_image1_1748804517.jpg
Chaussures homme,7000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5355170_uploaded_image1_1748804676.jpg
Chaussures homme,6000,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395482_uploaded_image2_1751059185.jpeg
Mocassins homme,5500,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5395412_uploaded_image1_1751054127.jpg
Sandales Hermès,20000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5393539_uploaded_image1_1750952929.jpg
Chaussures homme,35000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391753_uploaded_image1_1750857199.jpg
Chaussures homme,40000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5391598_uploaded_image1_1750852699.jpg
Chaussures homme,7000,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_5390760_uploaded_image1_1750804520.jpg
Chaussures homme,100000,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_5389229_uploaded_image1_1750732912.jpg
Sandales en cuir,8000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5388886_uploaded_image1_1750707753.jpg
Chaussures Zara,30000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5355405_uploaded_image1_1748811936.jpg
Chaussures Berluti,25000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5355402_uploaded_image1_1748811821.jpg
Sandales Hermès pour hommes,25000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5385859_uploaded_image1_1750532912.jpg
Chaussures homme,30000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5337086_uploaded_image1_1747753113.jpg
Chaussures homme,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380989_uploaded_image1_1750269170.jpg
Sandales croches,17000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380985_uploaded_image1_1750269013.jpg
Chaussures femmes,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380983_uploaded_image1_1750268930.jpg
Chaussures homme,22000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380977_uploaded_image1_1750268827.jpg
Chaussures hommes,23000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380973_uploaded_image1_1750268749.jpg
Sandales croches,15000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380962_uploaded_image1_1750268329.jpg
Chaussures hommes,22000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5380959_uploaded_image1_1750268225.jpg
Baskets Jordan Treize,21000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5379616_uploaded_image1_1750201036.jpg
Chaussures Nike,28000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5335985_uploaded_image1_1747682655.jpg
Chaussures homme,0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5375053_uploaded_image1_1749944221.jpg
Chaussures TN,13500,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371448_uploaded_image1_1749743120.jpg
Baskets Jordan 4,12500,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5371443_uploaded_image1_1749742989.jpg
Baskets homme,14000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5369353_uploaded_image1_1749639708.jpg
Chaussures Vans,20000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5332230_uploaded_image1_1747444488.jpg
Chaussure homme,0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5368229_uploaded_image1_1749571634.jpg
Chaussures Samba,25000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5367274_uploaded_image1_1749513863.jpg
Chaussures original,15000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5344646_uploaded_image1_1748182098.jpg
Chaussures homme,10000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5332090_uploaded_image1_1747434845.jpg
Chaussures homme,0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5332091_uploaded_image1_1747434908.jpg
