type_chaussure,prix,adresse,image_lien
Chaussures enfants,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2460595_uploaded_image1_1595239204.jpg
Chaussures enfants,6000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2456502_uploaded_image1_1595118562.jpg
Chaussures enfants,0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2452832_uploaded_image1_1595021290.jpg
Chaussures enfants,0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2447627_uploaded_image1_1594918005.jpg
Chaussures enfant,6000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2444887_uploaded_image1_1594863625.jpg
Chaussures enfant,4000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2444525_uploaded_image1_1594854180.jpg
Chaussures enfants,6000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_2443725_uploaded_image1_1594838891.jpg
Chaussures enfant,5500,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_2443709_uploaded_image1_1594838430.jpg
Chaussures enfants,0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_2443671_uploaded_image1_1594837680.jpg
Chaussures enfants,6000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2443093_uploaded_image1_1594828501.jpg
Chaussures pour filles,12000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_2439527_uploaded_image1_1594751426.jpg
Chaussures Enfants,8000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2431711_uploaded_image1_1594596062.jpg
Chaussures Enfants,8000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2431710_uploaded_image1_1594596033.jpg
Chaussures Enfants,4500,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_2430991_uploaded_image1_1594579037.35.jpeg
Chaussures enfant,0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2430002_uploaded_image1_1594558582.jpg
Chaussures enfants,6000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2428992_uploaded_image1_1594520466.jpg
Chaussures Enfants,8000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2428826_uploaded_image1_1594515028.jpg
Chaussures enfant,8000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2428822_uploaded_image1_1594514978.jpg
Chaussures Enfants,8000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2428820_uploaded_image1_1594514951.jpg
Chaussures enfants,6000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2425191_uploaded_image1_1594428152.jpg
Chaussures enfant,30000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2420883_uploaded_image2_1594336964.jpeg
Chaussures enfant,2200,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2420872_uploaded_image1_1594336760.jpg
Chaussures bébé fille o-1 mois,3000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_2415033_uploaded_image1_1594235186.jpg
Chaussures enfant,6000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2413078_uploaded_image1_1594213991.jpg
Chaussures enfant,6000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2410519_uploaded_image1_1594168798.jpg
Chaussures enfants,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2406863_uploaded_image1_1594125288.jpg
Chaussures enfant,10000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2406856_uploaded_image1_1594125233.jpg
Chaussures enfant,6000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_2406756_uploaded_image1_1594124181.jpg
Chaussures enfant,9000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2394786_uploaded_image1_1593908865.jpg
Chaussures enfant,9000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2394785_uploaded_image1_1593908839.jpg
Chaussures Enfants,9000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2394784_uploaded_image1_1593908812.jpg
